Sector,Cluster,District,Education Level,School
MOE,Cluster 1,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Beribi Telanai
MOE,Cluster 1,Brunei Muara,Pre-Primary & Primary,"Sekolah Rendah Datu Ratna Haji Muhammad Jaafar, Kiarong"
MOE,Cluster 1,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Kampong Mata-Mata Gadong
MOE,Cluster 1,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Katok 'A'
MOE,Cluster 1,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Katok 'B'
MOE,Cluster 1,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Pengiran Pekerma Setia  Diraja Sahibul Bandar 
MOE,Cluster 1,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Pintu Malim
MOE,Cluster 1,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Pusar Ulak
MOE,Cluster 1,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Tungku
MOE,Cluster 1,Brunei Muara,Secondary,Maktab Sultan Omar Ali Saifuddien
MOE,Cluster 1,Brunei Muara,Secondary,Sekolah Menengah Katok
MOE,Cluster 1,Brunei Muara,Secondary,Sekolah Menengah Menglait
MOE,Cluster 1,Brunei Muara,Secondary,Sekolah Tinggi Perempuan Raja Isteri
MOE,Cluster 1,Brunei Muara,Sixth Form,Maktab Duli Pengiran Muda Al-Muhtadee Billah
MOE,Cluster 1,Temburong,Pre-Primary & Primary,Sekolah Rendah Amo
MOE,Cluster 1,Temburong,Pre-Primary & Primary,Sekolah Rendah Labu Estate
MOE,Cluster 1,Temburong,Pre-Primary & Primary,Sekolah Rendah Negalang
MOE,Cluster 1,Temburong,Pre-Primary & Primary,Sekolah Rendah Puni
MOE,Cluster 1,Temburong,Pre-Primary & Primary,Sekolah Rendah Rataie
MOE,Cluster 1,Temburong,Pre-Primary & Primary,Sekolah Rendah Selangan
MOE,Cluster 1,Temburong,Pre-Primary & Primary,Sekolah Rendah Selapon
MOE,Cluster 1,Temburong,Pre-Primary & Primary,Sekolah Rendah Semabat
MOE,Cluster 1,Temburong,Pre-Primary & Primary,Sekolah Rendah Sultan Hashim
MOE,Cluster 1,Temburong,Pre-Primary & Primary,Sekolah Rendah Sultan Hassan
MOE,Cluster 1,Temburong,Secondary,Sekolah Menengah Sultan Hassan
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Awang Haji Mohd Yusof Katimahar
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Bebuloh
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Bendahara Sakam Bunut
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Bengkurong
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,"Sekolah Rendah Haji Mohd Jaafar Maun, Kiulap"
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Haji Tarif
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Jerudong
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Kampong Bendahara Lama
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Mabohai
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Masin
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Mulaut
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Orang Kaya Setia Bakti Kilanas
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Panchor Murai
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Panglima Barudin Limau Manis
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Pengiran Anak Puteri Besar Sungai Kebun
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Pengkalan Batu
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Raja Isteri Fatimah
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Saba Darat
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Sengkurong
MOE,Cluster 2,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Sungai Siamas
MOE,Cluster 2,Brunei Muara,Secondary,Sekolah Menengah Awang Semaun
MOE,Cluster 2,Brunei Muara,Secondary,Sekolah Menengah Masin
MOE,Cluster 2,Brunei Muara,Secondary,Sekolah Menengah Sayyidina Hasan
MOE,Cluster 2,Brunei Muara,Secondary,Sekolah Menengah Sayyidina Husain
MOE,Cluster 2,Brunei Muara,Secondary,Sekolah Menengah Sultan Muhammad Jamalul Alam
MOE,Cluster 2,Brunei Muara,Sixth Form,Pusat Tingkatan Enam Sengkurong
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Amar Pahlawan
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Anggerek Desa
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Berakas Garison
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Dato Basir
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Dato Marsal
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Dato Othman
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Datu Maha Wangsa Lambak
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Delima Satu
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Junjongan
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Kasat
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Lambak Kanan Jalan 49
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Lumapas
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Nakhoda Abdul Rashid Menunggol
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,"Sekolah Rendah Pantai Berakas, ABDB"
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Pehin Dato Jamil
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Perpindahan Lambak Kanan Jalan 10
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Pulaie
MOE,Cluster 3,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Putat
MOE,Cluster 3,Brunei Muara,Secondary,Sekolah Menengah Berakas
MOE,Cluster 3,Brunei Muara,Secondary,Sekolah Menengah Lambak Kiri
MOE,Cluster 3,Brunei Muara,Secondary,Sekolah Menengah Pengiran Anak Puteri Hajah Masna
MOE,Cluster 3,Brunei Muara,Secondary,Sekolah Menengah Sayyidina Abu Bakar
MOE,Cluster 3,Brunei Muara,Secondary,Sekolah Menengah Sayyidina Umar Al-Khattab
MOE,Cluster 3,Brunei Muara,Secondary,Sekolah Sukan
MOE,Cluster 3,Brunei Muara,Sixth Form,Maktab Sains Paduka Seri Begawan Sultan
MOE,Cluster 4,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Batu Marang
MOE,Cluster 4,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Dato Mohd Yassin
MOE,Cluster 4,Brunei Muara,Pre-Primary & Primary,Sekolah Rendah Haji Mohd Salleh Sungai Hanching
